review,cleaned_review
"House. Nicely balanced, feels like some oak or perhaps lees? Honeydew melon, honey, rosemary, papaya. Complex and more fruit forward / lower acid. Probably would not have guessed Sauvignon blanc. Bubblegum.  Refreshing, thirst-quenching",house nicely balanced feels like some oak or perhaps lees honeydew melon honey rosemary papaya complex and more fruit forward  lower acid probably would not have guessed sauvignon blanc bubblegum  refreshing thirstquenching
"SCOTT WHITE RECOMMENDATION

Scott has steered me to some great wines. Whispering angel rosé , Honig SB, and this. 

I cringed a bit on the price but said I’m worth it. So glad I did. 

Lots of tropical and citrus flavors with a touch of oak. Peach on the finish. 

90 point wine enthusiast. ","scott white recommendation

scott has steered me to some great wines whispering angel rosé  honig sb and this 

i cringed a bit on the price but said im worth it so glad i did 

lots of tropical and citrus flavors with a touch of oak peach on the finish 

90 point wine enthusiast "
"This bottle is now seven years old. I saved it because I wanted to see how it might age. It’s still gorgeous, and one of my favorite whites. Softer, rounder, fuller. Ripe Asian pear, peach, honey, a bit of butter and caramel from the oak as well. The citrus is still there, tangerine and grapefruit, but more in the background.",this bottle is now seven years old i saved it because i wanted to see how it might age its still gorgeous and one of my favorite whites softer rounder fuller ripe asian pear peach honey a bit of butter and caramel from the oak as well the citrus is still there tangerine and grapefruit but more in the background
Love the spicy note sitting on top of the gooseberry awesome sauvignon blanc for Californian but expect nothing less from Merry of course.,love the spicy note sitting on top of the gooseberry awesome sauvignon blanc for californian but expect nothing less from merry of course
"Fantastic sonoma sauvignon blanc with a complex profile. Flavors of  white peach, tangerine, lemon, grass, guava, pineapple, coconut, vanilla, and a hint of minerality. Oak barrel fermentation gives it a softer acidity but adds more character and a creamy texture.",fantastic sonoma sauvignon blanc with a complex profile flavors of  white peach tangerine lemon grass guava pineapple coconut vanilla and a hint of minerality oak barrel fermentation gives it a softer acidity but adds more character and a creamy texture
"I found this at the back of my cellar and thought it was maybe 4 years past prime. I was surprised - it still has a lot of life left in it. Sweet palate, notes of pink grapefruit and mon zest. Mouthfeel is creamy. Bright but mellowed acidity. ",i found this at the back of my cellar and thought it was maybe 4 years past prime i was surprised  it still has a lot of life left in it sweet palate notes of pink grapefruit and mon zest mouthfeel is creamy bright but mellowed acidity 
"Stop. This is the one.  Better than Lail, Cuvasion or any other California Sav Blanc.  Measure all against this near perfect wine. Pale straw in color with notes of tropical fruit and lemon zest

Light bodied with crisp fruit expression.  Acidity comes in waves with a harmonious blend of fruit making this finish clean and dry. 

The palate is white peach, honey crisp apple, with hints of lime and tart kiwi
95pts","stop this is the one  better than lail cuvasion or any other california sav blanc  measure all against this near perfect wine pale straw in color with notes of tropical fruit and lemon zest

light bodied with crisp fruit expression  acidity comes in waves with a harmonious blend of fruit making this finish clean and dry 

the palate is white peach honey crisp apple with hints of lime and tart kiwi
95pts"
What impresses me most is this is a premium Sauvignon blanc isn’t overly fruity in an way like a lot of others but it has a mellow cornucopia of fruit.  Melon strawberry honey dew blueberry.  You name it and it’s got it and it’s a little crispy but a little soft and oaky.  So excellent ,what impresses me most is this is a premium sauvignon blanc isnt overly fruity in an way like a lot of others but it has a mellow cornucopia of fruit  melon strawberry honey dew blueberry  you name it and its got it and its a little crispy but a little soft and oaky  so excellent 
"A medium plus body SB, round, showing oak notes, lees, and more on stone fruit and tropical, high alcohol but concentrated, quite long",a medium plus body sb round showing oak notes lees and more on stone fruit and tropical high alcohol but concentrated quite long
Benchmark Cali Sauv B. Balanced wine. The fruit is ripe but not overly so.,benchmark cali sauv b balanced wine the fruit is ripe but not overly so
Awaesome white !!! Enjoy with friends !!,awaesome white  enjoy with friends 
Oaked sauvignon blanc - really awesome combination,oaked sauvignon blanc  really awesome combination
"Different for a sauv blanc, crisp but richer than normal. Very good.",different for a sauv blanc crisp but richer than normal very good
Even better when drinking in Sonoma,even better when drinking in sonoma
"Great Sauvignon Blanc!!! Aromas of melon, pear, minerals. High acidity/freshness in the mouth.",great sauvignon blanc aromas of melon pear minerals high acidityfreshness in the mouth
"Wow… impressive robust Sauvignon Blanc … green apple, pear cotton mineral lime   Beautiful",wow impressive robust sauvignon blanc  green apple pear cotton mineral lime   beautiful
Holds it's own,holds its own
